"LegalName","BusinessName","BusinessAddress","City","State","Zip","County","Municipality","AgentName","Expiration","LastUpdated","Fee","CIG","TOB","VAP","OTC","VM",
"WOODMAN'S FOOD MARKET, INC","WOODMAN'S FOOD MARKET","7145 118TH AVE","KENOSHA","WI","53142","KENOSHA","CITY of KENOSHA","RONALD ALLAN","2027-06-30","2026-06-25","100","1","1","1","1","0",
"WOODMAN'S FOOD MARKET INC.","WOODMAN'S FOOD MARKET","8131 S. HOWELL AVE.","OAK CREEK","WI","53154","MILWAUKEE","CITY of OAK CREEK","MARGARITO MARTINEZ","2026-06-30","2025-07-11","100","1","1","0","1","0",
"WOODMAN'S FOOD MARKET INC.","WOODMAN'S FOOD MARKET GAS STATION","8151 S HOWELL AVE.","OAK CREEK","WI","53154","MILWAUKEE","CITY of OAK CREEK","MARGARITO MARTINEZ","2026-06-30","2025-07-11","100","1","1","0","1","0",
"WOODMAN'S FOOD MARKET INC #39 GAS STATION","WOODMAN'S FOOD MARKET #39 GAS STATION","W124N8133 HWY 145","MENOMONEE FALLS","WI","53051","WAUKESHA","VILLAGE of MENOMONEE FALLS","RICE, ALEXANDER","2026-06-30","2025-07-14","100","1","1","0","1","0",
"WOODMAN'S FOOD MARKET INC","WOODMAN'S FOOD MARKET INC #41 GAS STATION","2926 WOODMAN DRIVE","ALTOONA","WI","54720","EAU CLAIRE","CITY of ALTOONA","ADAM CAMPBELL","2026-06-30","2025-09-11","100","1","1","0","1","0",
"WOODMAN'S FOOD MARKET INC","WOODMANS FOOD MARKET #16","3817 MILWAUKEE ST","MADISON","WI","53714","DANE","CITY of MADISON","CHRISTIAN A KEYMOLEN","2025-06-30","2026-04-16","100","1","1","1","1","0",
"WOODMAN'S FOOD MARKET INC","WOODMANS FOOD MARKET #20","711 S GAMMON RD","MADISON","WI","53719","DANE","CITY of MADISON","JEON Y DELOACH","2025-06-30","2026-04-16","100","1","1","0","1","0",
"WOODMAN'S FOOD MARKET INC","WOODMAN'S FOOD MARKET #29","2400 DUCK CREEK PKWY","GREEN BAY","WI","54303","BROWN","VILLAGE of HOWARD","JOSH HAMILL","2026-06-30","2025-07-14","50","1","1","0","1","0",
"WOODMAN'S FOOD MARKET","WOODMAN'S FOOD MARKET, INC","1600 E. MAIN ST","WAUKESHA","WI","53186","WAUKESHA","CITY of WAUKESHA","nicole lasner","2027-06-30","2026-06-10","100","1","1","0","1","0",
"WOODEN NICKEL LLC","WOODEN NICKEL BAR AND GRILL ","634 CTY RD E","GRAND MARSH","WI","53936","ADAMS","TOWN of NEW CHESTER","TRACY BRAUNSCHWEIG","2027-06-30","2026-06-24","10","1","0","0","1","0",
"WONDERS OF NATURE LLC","WONDERS OF NATURE","416 S BARSTOW ST","EAU CLAIRE","WI","54701","EAU CLAIRE","CITY of EAU CLAIRE","BUSKE, CHRISTOPHER","2026-06-30","2025-07-14","100","0","1","1","1","0",
"WOLF'S DEN STANLEY, INC","WOLF'S DEN BAR AND CAMPGROUND","1296  12 3/4 STREET","CAMERON","WI","54822","BARRON","TOWN of STANLEY","Brian Claudnic","2026-06-30","2025-07-06","5","1","0","0","1","0",
"WLC ENTERPRISES OF ELM GROVE, INC","ELM GROVE BP","13395 W WATERTOWN PLANK RD","ELM GROVE","WI","53122","WAUKESHA","VILLAGE of ELM GROVE","JUDITH SCHWARTZ","2026-06-30","2026-01-07","100","1","1","1","1","0",
"WITTLIN'S SERVICE INC","WITTLIN'S SERVICE","N92W17387 APPLETON AVE.","MENOMONEE FALLS","WI","53051","WAUKESHA","VILLAGE of MENOMONEE FALLS","WITTLIN, JOHN","2026-06-30","2025-07-14","100","1","1","1","1","0",
"WITTIG TRAVEL CENTER INC","BP TOMAH NORTH","311 WITTIG RD","TOMAH","WI","54660","MONROE","CITY of TOMAH","GURPREET SINGH","2026-06-30","2025-07-10","50","1","1","1","1","0",
"WITTENBERG TRAVEL CENTER, LLC","BRAKE TIME","W17256 RED OAK LANE","WITTENBERG","WI","54499","SHAWANO","TOWN of WITTENBERG","SYED RIZWAN NOOK","2027-06-30","2026-05-10"," 50.00","1","1","1","1","0",
"WITT'S FOODS, INC.","WITT'S PIGGLY WIGGLY","214 USH 141N","CRIVITZ","WI","54114","MARINETTE","VILLAGE of CRIVITZ","Rebecca Zillges","2026-06-30","2025-07-08","100","1","1","0","1","0",
"WISSOTA VIEW LLC","THE VIEW","17779 CTH X","CHIPPEWA FALLS","WI","54729","CHIPPEWA","TOWN of LAFAYETTE","ROBERT C BROWN","2027-06-30","2026-06-23","20","1","1","1","1","0",
"WISSOTA LANDING LLC","THE LANDING","17415 CTY HWY X","CHIPPEWA FALLS","WI","54729","CHIPPEWA","TOWN of LAFAYETTE","ROB BROWN","2027-06-30","2026-06-23"," 20.00","1","1","1","1","0",
"WISSLUND, LLC","WAYSIDE TAVERN","701 W WISCONSIN ST","SPARTA","WI","54656","MONROE","CITY of SPARTA","TONI WISSESTAD","2026-06-30","2025-08-14","100","1","0","0","1","0",
"WISH ENTERPRISES LLC","RACEWAY FOOD MART","1138 W MAIN ST","WHITEWATER","WI","53190","WALWORTH","CITY of WHITEWATER","SINGH, MOHAN","2026-06-30","2025-07-11","100","1","1","1","1","0",
"WISE GUYS LLC","WISE GUYS LLC","57 W MAIN ST","MILLTOWN","WI","54858","POLK","VILLAGE of MILLTOWN","CINDY NORGARD","2026-06-30","2025-07-01","50","1","0","0","1","0",
"WISCOWELLNESS LLC","WISCOWELLNESS LLC","131 21ST AVENUE SOUTH","WISCONSIN RAPIDS","WI","54495","WOOD","CITY of WISCONSIN RAPIDS","CLIFFORD J. EICHHORN","2026-06-30","2025-08-27","100","0","0","1","1","0",
"Wisconsin Wellness LLC","CBD American Shaman Waukesha","1921 Silvernail Dr, Suite 102","Pewaukee","WI","53072","WAUKESHA","CITY of WAUKESHA","Matthew Walsh","2027-06-30","2026-06-10"," 100.00","0","0","1","1","0",
"WISCONSIN PETROL INC","J-STOP KEWASKUM","100 BADGER ROAD","KEWASKUM","WI","53040","WASHINGTON","VILLAGE of KEWASKUM","DHANOA NAVJEET","2026-06-30","2025-12-11","100","1","1","1","1","0",
"WISCONSIN PETROL INC","J-STOP KEWASKUM","100 BADGER ROAD","KEWASKUM","WI","53040","WASHINGTON","VILLAGE of KEWASKUM","DHANOA NAVJEET","2026-06-30","2025-12-11","100","1","1","1","1","0",
"WISCONSIN MARITIME MUSEUM INC","WISCONSIN MARITIME MUSEUM","75 Maritime Dr","MANITOWOC","WI","54220","MANITOWOC","CITY of MANITOWOC","KAREN DUVALLE","2026-06-30","2025-07-15","100","0","1","0","1","0",
"WISCONSIN LIQUOR AND FOOD THREE, INC.","ABC LIQUOR","3901 W VLIET ST","MILWAUKEE","WI","53208","MILWAUKEE","CITY of MILWAUKEE","KAUR, NAVDIP, AGENT","2025-07-27","2025-07-15","100","1","1","1","1","0",
"WISCONSIN LIQUOR & FOOD, INC","ABC BEER & LIQUOR DEPOT II","1819 N 12TH ST","MILWAUKEE","WI","53205","MILWAUKEE","CITY of MILWAUKEE","KAUR, NAVDIP, AGENT","2026-05-18","2025-07-15","100","1","1","1","1","0",
"WISCONSIN FUEL LLC","CROSSROADS BP","4711 CTH TT","SUN PRAIRIE","WI","53590","DANE","TOWN of SUN PRAIRIE","PARVEEN K. BHARDWAJ","2026-06-30","2025-07-01","100","1","1","1","1","0",
"WISCONSIN FUEL LLC","WISCONSIN FUEL","2763 COUNTY ROAD N","COTTAGE GROVE","WI","53527","DANE","TOWN of PLEASANT SPRINGS","PARVEEN BARDWAJ","2026-06-30","2025-07-21","20","1","1","1","1","0",
"WISCONSIN FUEL LLC","WISCONSIN FUEL","2763 COUNTY ROAD N","COTTAGE GROVE","WI","53527","DANE","TOWN of PLEASANT SPRINGS","PARVEEN BHARDWAJ","2026-06-30","2025-07-21","20","1","1","1","1","0",
"WISCONSIN FINE WINES & SPIRITS, LLC","TOTAL WINE SPIRITS BEER & MORE","17300 W BLUEMOUND ROAD, STE 200","BROOKFIELD","WI","53045","WAUKESHA","CITY of BROOKFIELD","WARREN WIEDOWER","2024-06-30","2024-08-12","100","1","1","0","1","0",
"WISCONSIN FINE WINES & SPIRITS LLC","TOTAL WINE SPIRITS BEER & MORE","955 N MUTUAL WAY","GRAND CHUTE","WI","54913","OUTAGAMIE","TOWN of GRAND CHUTE","JESSICA NELSON","2026-06-30","2026-02-13","0","0","1","0","1","0",
"WISCONSIN FINE WINE & SPIRITS, LLC","TOTAL WINE SPIRITS BEER & MORE","5850 N BAYSHORE DRIVE","GLENDALE","WI","53217","MILWAUKEE","CITY of GLENDALE","KONRAD COOKINGHAM","2026-06-30","2026-02-24","100","0","1","0","1","0",
"WISCONSIN FINE WINE & SPIRITS LLC","TOTAL WINE SPIRITS BEER & MORE","8700 W SURA LANE","GREENFIELD","WI","53228","MILWAUKEE","CITY of GREENFIELD","ANDREW STACHELSKI","2026-06-30","2025-07-23","100","0","1","0","1","0",
"WISCONSIN DISCOUNT LLC","WISCONSIN DISCOUNT","2724 16TH ST","RACINE","WI","53405","RACINE","CITY of RACINE","NESREEN M. ABUSHIHAB","2026-06-30","2026-04-01","1","1","1","1","0","0",
"WISCONSIN DELLS CLOTHING COMPANY LLC","TOO CUTE","214 BROADWAY","WISCONSIN DELLS","WI","53965","COLUMBIA","CITY of WISCONSIN DELLS","Michael Cohen","2026-06-30","2026-02-25","100","1","1","1","1","0",
"WISCONSIN CITY AND COUNTRY CLUB LLC","WISCONSIN CLUB","900 W WISCONSIN AV","MILWAUKEE","WI","53233","MILWAUKEE","CITY of MILWAUKEE","REBHOLZ, JAMES G, AGENT","2025-11-20","2025-07-15","100","1","1","0","1","0",
"WISCONSIN BENIPAL, LLC","LISBON GAS & FOOD","3033 W LISBON AV","MILWAUKEE","WI","53208","MILWAUKEE","CITY of MILWAUKEE","BENIPAL, SIMRANJEET S, AGENT","2026-01-31","2025-07-15","100","1","1","1","1","0",
"WISCO SALES GROUP LLC","WISCO SALES GROUP LLC","411 BROADWAY","Wisconsin Dells","WI","53965","COLUMBIA","CITY of WISCONSIN DELLS","AARON TROXEL","2026-06-30","2026-02-25","100","1","1","1","1","0",
"WISCO JOHNNY'S ","WISCO JOHNNY'S ","W5104 US HWY 14/61","LA CROSSE","WI","54601","LA CROSSE","TOWN of SHELBY","JOHN PARKYN","2026-06-30","2026-02-24","20","1","0","0","1","0",
"WISCO GREEN, LLC","WISCON GREEN LLC","602 W VERONA AVE","VERONA","WI","53593","DANE","CITY of VERONA","JOHN SCHOVILLE","2027-06-30","2026-06-25","100","0","0","1","1","0",
"WINTER COOP","WINTER COOPERATIVE","PO BOX 280 5159 N MAIN ST","WINTER","WI","54896","SAWYER","VILLAGE of WINTER","NULL","2026-06-30","2025-07-11","50","1","1","1","1","0",
"WINTER & TOMAN VENTURES LLC","SLIM & CHUBBY'S","109 SO. MAIN ST.","FOND DU LAC","WI","54935","FOND DU LAC","CITY of FOND DU LAC","ASHTON WINTER","2026-06-30","2025-07-24","100","1","0","0","1","0",
"WINGATE MART INC","WINGATE BP","2825 E WASHINGTON ST","WEST BEND","WI","53095","WASHINGTON","CITY of WEST BEND","SANGEETA JOSHI","2026-06-30","2025-07-14","0","1","1","1","1","0",
"WINE HOUSE LLC","THE WINE HOUSE","W392 BLUFF SIDING RD","FOUNTAIN CITY","WI","54629","BUFFALO","TOWN of BUFFALO","DAVID PIRKLE","2026-06-30","2025-07-13","5","1","0","0","1","0",
"WINDSOR GOLF VENTURES INC","LAKE WINDSOR GOLF CLUB","4628 GOLF RD","WINDSOR","WI","53598","DANE","VILLAGE of WINDSOR","MICHAEL DUNLAP","2026-06-30","2025-06-30","100","1","1","1","1","0",
"WIND LAKE COUNTRY MARKET, LLC","WIND LAKE COUNTRY MARKET","26480 FRIES LANE","WIND LAKE","WI","53185","RACINE","TOWN of NORWAY","SUKHDEEP GARCHA","2027-06-30","2026-06-12","100","1","1","1","1","0",
"WIND LAKE BEVERAGES","AMAN'S BEER & WINE","26210 W LOOMIS RD","WIND LAKE","WI","53185","RACINE","TOWN of NORWAY","AMANDIP SINGH","2027-06-30","2026-06-12","100","1","1","1","1","0",
"WIMILES, INC","WIMILES CENTER COURT","1614 CENTER STREET","KEWAUNEE","WI","54216","KEWAUNEE","CITY of KEWAUNEE","RABIR S SHERGILL","2027-06-30","2026-06-19","50","1","1","1","1","0",
"WILMOT AUTO SERVICE, INC.","WILMOT AUTO SERVICE","11307 FOX RIVER ROAD","WILMOT","WI","53192","KENOSHA","VILLAGE of SALEM LAKES","DWAYNE GARWOOD","2026-06-30","2025-08-22","50","1","1","0","1","0",
"WILLOW RIVER SALOON INC","WILLOW RIVER SALOON","1106 CTY RD A","HUDSON","WI","54016","ST CROIX","TOWN of SAINT JOSEPH","CHRISTOPHER KATH","2026-06-30","2025-06-18","100","1","1","1","1","0",
"WILLOW MILL CAPSITE LLC","WILLOW MILL CAMPSITES","N5830 CTY SS","RIO","WI","53960","COLUMBIA","TOWN of SPRINGVALE","Carol Luetkens","2026-06-30","2026-06-26","5","1","0","0","1","0",
"WILLOW HAVEN BAR AND GRILL LLC.","WILLOW HAVEN BAR AND GRILL","4877 HAVEN DRIVE","HAZELHURST ","WI","54531","ONEIDA","TOWN of LITTLE RICE","MICHAEL BOHN","2027-06-30","2026-06-10","50","1","0","0","1","0",
"WILLIAMS BAY MOBIL INC.","WILLIAMS BAY MOBIL MART","66 W. GENEVA STREET","WILLIAMS BAY","WI","53191","WALWORTH","VILLAGE of WILLIAMS BAY","GURDARSHAN SINGH","2026-06-30","2025-06-18","100","1","1","0","1","0",
